Sample,Species,ID
3-25-A,V. adamsii,PGJ 2905
3-23-A,V. albicans,PGJ 3032
S1A,V. amplexicaulis,PGJ 3055
S1B,V. annulata,PGJ 3086
S1C,V. arganthera,PGJ 3045
3-27-B,V. armstrongii,PGJ 2909
H1A,V. barkeri,MJB 695
3-27-C,V. baylyi,PGJ 3068
H2A,V. benthamii,JMP 13-066
S4A,V. biggarii,PGJ 3050
S1F,V. bishopiana,PGJ 3077
3-23-B,V. bollonsii,PGJ 3062
3-19-A,V. brachysiphon,PGJ 2902
H1B,V. breviracemosa,MJB 1534
3-28-A,V. buchananii,BG xx-0-Bon 13422
H2B,V. calcicola,MJB 1079
H2C,V. canterburiensis,SP084392
3-25-B,V. catarractae,PGJ 2875
S4D,V. chamaedrys,CP 1
S1G,V. chathamica,PGJ 3069
3-23-D,V. cheesemanii-SP090423,SP090423
S3A,V. cheesemanii-2587,PGJ 2587
4-12-A,V. chionohebe,MJB 1823
C3,V. ciliolata,MJB 1837
S1H,V. cockayneana,PGJ 3079
S1J,V. colensoi,PGJ 3078
3-23-C,V. colostylis,PGJ 3056
3-25-C,V. corriganii,PGJ 2903
S1K,V. cryptomorpha,PGJ 3030
3-25-D,V. cupressoides,PGJ 3039
3-28-B,V. decora,PGJ 3072
S1L,V. decumbens,PGJ 3054
A3,V. densifolia,PGJ 2989
H3C,V. dieffenbachii,MJB 704
H3D,V. dilatata,PGJ 1923a
3-27-E,V. diosmifolia,PGJ 3059
3-28-C,V. elliptica,PGJ 2884
S1N,V. epacridea,PGJ 3073
3-25-F,V. evenosa,PGJ 2906
3-25-G,V. flavida,PGJ 3064
S1O,V. gibbsii,PGJ 3070
S1P,V. glaucophylla,PGJ 3067
3-27-F,V. hectorii,HMM 366
4-12-B,V. hookeri,PGJ 3089
3-27-O,V. hookeriana-2671,PGJ 2671
3-19-D,V. hookeriana-BDM12,BDM12
E3,V. hulkeana,PGJ 2900
H1E,V. insularis,MJB S-80
S2A,V. jovellanoides,SP090401
H2D,V. kellowiae,MJB S-204
B3,V. lanceolata,HMM 386
H2E,V. lavaudiana,PGJ 2540
3-28-D,V. leiophylla,K 1983-2273
3-25-I,V. ligustrifolia,PGJ 3052
3-23-E,V. lilliputiana,PGJ 3074
3-23-F,V. linifolia,PGJ 2657a
4-12-F,V. lyallii,PGJ 2873
3-27-H,V. lycopodioides,PGJ 3034
H2F,V. maccaskillii,PGJ 2541
3-23-H,V. macrantha,PGJ 2924
H2G,V. macrocalyx,SP084386
3-25-J,V. macrocarpa,PGJ 3066
H2H,V. masoniae,MJB 559
H1D,V. melanocaulon,SP098804
H2J,V. mooreae,MJB 1737
S2B,V. obtusata,PGJ 3063
3-27-I,V. ochracea,PGJ 2911
D3-2,V. odora,HMM 369
S2C,V. pareora,PGJ 3075
3-19-E,V. parviflora,PGJ 3065
S2D,V. pauciramosa,PGJ 3038
S4C,V. pentasepala,PGJ 2589
H1F,V. perbella,LOW 02011
H2L,V. perfoliata,SP101339
H2M,V. petriei,MJB S-126
3-27-J,V. pimeleoides,K 1997-5497
3-27-K,V. pinguifolia,PGJ 3040
3-23-J,V. plano-petiolata,HMM 3390
S2E,V. poppelwellii,PGJ 3041
S2F,V. propinqua,PGJ 3036
S2G,V. pubescens,PGJ 3048
4-12-H,V. pulvinaris,PGJ 3004
3-25-K,V. punicea,PGJ 2904
4-12-I,V. quadrifaria,PGJ 3085
H2N,V. rakaiensis,LOW 02009
S3D,V. raoulii,PGJ 2922
S2J,V. rigidula,PGJ 3051
S2K,V. rivalis,PGJ 3060
H2O,V. rupicola,MJB 994
H1G,V. salicifolia,MJB 997
3-27-L,V. salicornioides,K 1989-2004
H2P,V. scopulorum,MO 393
S2L,V. scrupea,PGJ 2592
4-12-K,V. senex,PGJ 2347
S2M,V. simulans,PGJ 3042
H1H,V. societatis,SP 082621
H2Q,V. spathulata,PGJ 2263
S2N,V. speciosa,PGJ 2878
3-19-F,V. stenophylla,PGJ 3053
3-19-G,V. stricta,PGJ 3057
3-25-N,V. strictissima,PGJ 2885
3-25-O,V. subalpina,PGJ 3029
H1J,V. subfulvida,SP 083377
H1K,V. tairawhiti,SP 088197
S2O,V. tetragona,PGJ 3088
4-12-L,V. tetrasticha,PGJ 2996
4-12-M,V. thomsonii,PGJ 2981
3-28-E,V. topiaria,BG xx-0-Bon-17452
S2P,V. townsonii,PGJ 3044
S2Q,V. traversii,PGJ 3047
3-27-M,V. treadwellii,PGJ 2907
4-12-N,V. trifida,PGJ 2983
S2R,V. truncatula,PGJ 3087
S3E,V. uniflora,PGJ 2987
S2S,V. venustula,PGJ 3082
3-27-N,V. vernicosa-2925,PGJ 2925
4-12-O,V. vernicosa-2926,PGJ 2926
H2R,V. zygantha,PGJ 1881
